workerid,proliferate.condition,blank_location,category,internal_node_id,nameType,names,pronouns,response,rt,sentence,stimID,stimType,stimulus,success,time_elapsed,trial_index,trial_type,word_count,error
3864,Pilot,,irb,0.0-0.0,,,,0,33757,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics and the University of Southern California Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the questions following the study. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>",,33761,0,html-button-response,,
3864,Pilot,,,0.0-1.0,,,,,3029,,,,,True,37801,1,fullscreen,,
3864,Pilot,,gameData,0.0-2.0,,"['Andrew', 'Fransco', 'Enuaran', 'Bret', 'Tom', 'Cordon', 'Jarga', 'Alex', 'Ben', 'Migual', 'Sam', 'Felix']","[None, None, None, None, None, None, None, None, None, None, None, None]",,,,,,,,364925,2,madlibs,,
3864,Pilot,,instructions,0.0-3.0,,,,0,66789,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    <h2 style=""text-align: center;"">Instructions</h2>
    <p>In this experiment, you will read a series of 48 sentences that appear one word at a time in the center of the screen. Each trial will begin with a black '+' in the middle. Focus on this '+' and continue watching as the words replace it. The words are presented quickly, and you will not be able to review the sentence after it has passed.</p>
    <p>After each sentence, you will be asked to fill in a missing word that best completes the sentence. Please read carefully and do your best to understand the meaning of each sentence.</p>
    <p>The experiment will take about 10-15 minutes to complete.</p>
    <p>When you are ready, press 'Begin' to start.</p>
  </div>",,431717,3,html-button-response,,
3864,Pilot,4,practice,0.0-4.0,,,,sentence,68852,This is a practice sentence to help you get used to the task.,,,,,507063,4,rsvp,,
3864,Pilot,,instructions,0.0-5.0,,,,0,7791,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    <h2 style=""text-align: center;"">End of Practice</h2>
    <p>You have completed the practice trial. The main experiment will now begin. Remember to read each sentence carefully and fill in the missing word after each sentence.</p>
    <p>When you are ready, press 'Continue' to start the main experiment.</p>
  </div>",,514856,5,html-button-response,,
3864,Pilot,4,,0.0-6.0-0.0,weName,,,that,12621,It was no secret Angel despised the baker.,targ_21,symm,,,530975,6,rsvp,8,
3864,Pilot,1,,0.0-6.0-0.1,filler,,,package,15328,The message Nancy sent to her mom wasn't delivered.,fill_17,center_embedding,,,550284,7,rsvp,9,
3864,Pilot,4,,0.0-6.0-0.2,filler,,,blue,13873,While Jorge drove the dusty car veered into a ditch.,fill_05,garden_path,,,567825,8,rsvp,10,
3864,Pilot,5,,0.0-6.0-0.3,filler,,,boy,9391,While Kara bathed the baby cried.,fill_01,garden_path,,,582858,9,rsvp,6,
